,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,Latitude,Longitude,geometry,BuildingAge
615,815,2015,nonresidential,large office,3,DOWNTOWN,1.0,17.0,413264,138098,275166,office,299055.0,parking,91220.0,No information,0.0,91.0,13158205.0,0.0,13158750.0,0.0,93.38,47.60241047,-122.32732941,POINT (-122.32732941 47.60241047),6
616,817,2015,nonresidential,mixed use property,4,NORTHEAST,1.0,6.0,122400,54300,68100,office,41624.0,parking,33399.0,multifamily housing,20740.0,52.0,5415438.0,0.0,4346649.0,1068969.0,83.22999999999999,47.65836686,-122.31287375,POINT (-122.31287375 47.65836686),6
618,820,2015,sps-district k-12,k-12 school,3,CENTRAL,1.0,1.0,52924,0,52924,k-12 school,52924.0,No information,0.0,No information,0.0,81.0,1907697.0,0.0,1907776.0,0.0,13.47,47.6016549,-122.31538028,POINT (-122.31538028 47.6016549),27
619,821_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,2.0,123000,0,123000,non-refrigerated warehouse,112484.0,office,24433.0,No information,0.0,55.0,2645229.0,0.0,2645339.0,0.0,18.44,47.51277739,-122.28386411,POINT (-122.28386411 47.51277739),49
620,822_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,1.0,60448,0,60448,non-refrigerated warehouse,52702.0,office,7746.0,No information,0.0,93.0,888308.0,0.0,562213.0,326118.0,21.24,47.51184247,-122.28179733,POINT (-122.28179733 47.51184247),37
621,828_2015,2015,nonresidential,hospital,3,EAST,1.0,14.0,1765970,0,1765970,hospital (general medical & surgical),1639334.0,parking,441551.0,No information,0.0,59.0,286685536.0,127869744.0,140448322.0,18373320.0,11824.89,47.608951,-122.322402,POINT (-122.322402 47.608951),21
622,829_2015,2015,nonresidential,large office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,215946,0,215946,office,153044.0,non-refrigerated warehouse,43463.0,other - recreation,19439.0,84.0,10752843.0,0.0,4474515.0,6278512.0,364.64,47.61906313,-122.3586461,POINT (-122.3586461 47.61906313),87
624,831,2015,nonresidential,medical office,3,EAST,1.0,5.0,289419,159157,130262,medical office,146150.0,parking,139000.0,No information,0.0,67.0,11792141.0,0.0,10557204.0,1235374.0,136.35500000000002,47.60778771,-122.3201541,POINT (-122.3201541 47.60778771),25
625,832_2015,2015,nonresidential,small- and mid-sized office,5,NORTH,1.0,5.0,90266,0,90266,No information,0.0,No information,0.0,No information,0.0,42.0,7615756.0,0.0,7616071.0,0.0,53.09,47.69943689,-122.3237873,POINT (-122.3237873 47.69943689),28
626,837_2015,2015,nonresidential,non-refrigerated warehouse,6,BALLARD,1.0,4.0,87332,6458,80874,non-refrigerated warehouse,87332.0,No information,0.0,No information,0.0,84.0,1189402.0,0.0,1075569.0,113878.0,13.55,47.65803253,-122.364501,POINT (-122.364501 47.65803253),11
627,838,2015,nonresidential,medical office,3,EAST,1.0,3.0,83448,15479,67969,medical office,42527.0,office,27961.0,other,529.0,54.0,6668456.0,0.0,2661094.0,4007472.0,231.39,47.61142131,-122.3213375,POINT (-122.3213375 47.61142131),87
628,839,2015,nonresidential,hotel,3,EAST,1.0,6.0,150545,50017,100528,hotel,100528.0,parking,50017.0,No information,0.0,26.0,13720714.0,0.0,5720865.0,8000088.0,459.265,47.61180149,-122.3202724,POINT (-122.3202724 47.61180149),12
